"id","psis_code","psis_name","odef_v2_1_name","education_data_name","ref_date","start_date","end_date","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","gender","value","facility_type","unit","street_no","street_name","city","prov_terr","postal_code","latitude","longitude","geom"
"30870646","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","18.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30870647","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Natural resources and conservation [03.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","30.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30870854","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Natural resources conservation and research [03.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","18.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30870855","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Natural resources conservation and research [03.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","30.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871030","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Area, ethnic, cultural, gender, and group studies [05.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","6.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871031","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Area, ethnic, cultural, gender, and group studies [05.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","6.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871166","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Area studies [05.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","6.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871167","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Area studies [05.01]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","6.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871286","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Ethnic, cultural minority, gender, and group studies [05.02]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","3.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871287","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Ethnic, cultural minority, gender, and group studies [05.02]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","3.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871446","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Computer and information sciences and support services [11.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","42.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871447","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Computer and information sciences and support services [11.]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Woman","12.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
"30871654","13002000","Mount Allison University","Mount Allison University","Mount Allison University, New Brunswick","2018/2019","2018-09-01","2019-08-31","Computer science [11.07]","Undergraduate program","Total, credential type","Total, institution type","Total, registration status","Total, status of student in Canada","Man","42.0","University",NULL,"65","york street","Sackville","NB","E4L1E4","45.89914076","-64.37379243","0101000020E6100000E9951537EC1750C0AD595F0B17F34640"
